[u'2017-05-17 17:59\xa0UTC', u'aleksejs', u'0\xa0\U0001f353', u'wizardly_shannon\xa0(6)']
[u'2017-05-17 18:04\xa0UTC', u'aleksejs', u'0\xa0\U0001f353', u'angry_meitner\xa0(7)']
[u'2017-05-17 18:12\xa0UTC', u'doegox', u'0\xa0\U0001f353', u'wizardly_shannon\xa0(6)']
[u'2017-05-17 18:14\xa0UTC', u'doegox', u'0\xa0\U0001f353', u'angry_meitner\xa0(7)']
[u'2017-05-17 18:16\xa0UTC', u'Team Megaloblastt', u'0\xa0\U0001f353', u'wizardly_shannon\xa0(6)']
[u'2017-05-17 18:20\xa0UTC', u'Team Megaloblastt', u'0\xa0\U0001f353', u'angry_meitner\xa0(7)']
[u'2017-05-17 18:23\xa0UTC', u'Team Megaloblastt', u'0\xa0\U0001f353', u'hopeful_liskov\xa0(3)']
[u'2017-05-17 19:13\xa0UTC', u'mlyons3', u'0\xa0\U0001f353', u'wizardly_shannon\xa0(6)']
[u'2017-05-17 19:15\xa0UTC', u'mlyons3', u'0\xa0\U0001f353', u'angry_meitner\xa0(7)']
[u'2017-05-17 19:37\xa0UTC', u'ZetaTwo', u'0\xa0\U0001f353', u'angry_meitner\xa0(7)']
[u'2017-05-17 19:44\xa0UTC', u'ZetaTwo', u'0\xa0\U0001f353', u'wizardly_shannon\xa0(6)']
[u'2017-05-17 20:49\xa0UTC', u'doegox', u'0\xa0\U0001f353', u'hopeful_liskov\xa0(3)']
[u'2017-05-17 21:30\xa0UTC', u'pluto', u'0\xa0\U0001f353', u'wizardly_shannon\xa0(6)']
[u'2017-05-17 21:32\xa0UTC', u'pluto', u'0\xa0\U0001f353', u'angry_meitner\xa0(7)']
[u'2017-05-17 22:26\xa0UTC', u'xanes', u'0\xa0\U0001f353', u'angry_meitner\xa0(7)']
[u'2017-05-17 22:26\xa0UTC', u'xanes', u'0\xa0\U0001f353', u'wizardly_shannon\xa0(6)']
[u'2017-05-17 23:44\xa0UTC', u'Team Megaloblastt', u'0\xa0\U0001f353', u'stupefied_varahamihira\xa0(16)']
[u'2017-05-18 04:31\xa0UTC', u'olesona', u'0\xa0\U0001f353', u'wizardly_shannon\xa0(6)']
[u'2017-05-18 04:34\xa0UTC', u'olesona', u'0\xa0\U0001f353', u'angry_meitner\xa0(7)']
[u'2017-05-18 05:14\xa0UTC', u'Team Megaloblastt', u'0\xa0\U0001f353', u'elegant_sinoussi\xa0(18)']
[u'2017-05-18 07:25\xa0UTC', u'705lab', u'0\xa0\U0001f353', u'wizardly_shannon\xa0(6)']
[u'2017-05-18 07:28\xa0UTC', u'705lab', u'0\xa0\U0001f353', u'angry_meitner\xa0(7)']
[u'2017-05-18 08:52\xa0UTC', u'OverTime', u'0\xa0\U0001f353', u'angry_meitner\xa0(7)']
[u'2017-05-18 09:00\xa0UTC', u'OverTime', u'0\xa0\U0001f353', u'wizardly_shannon\xa0(6)']
[u'2017-05-18 09:10\xa0UTC', u'matlink', u'0\xa0\U0001f353', u'wizardly_shannon\xa0(6)']
[u'2017-05-18 09:18\xa0UTC', u'pschorrhacker', u'0\xa0\U0001f353', u'vigilant_wescoff\xa0(12)']
[u'2017-05-18 10:47\xa0UTC', u'matlink', u'0\xa0\U0001f353', u'angry_meitner\xa0(7)']
[u'2017-05-18 10:48\xa0UTC', u'Nainphomane', u'0\xa0\U0001f353', u'wizardly_shannon\xa0(6)']
[u'2017-05-18 11:22\xa0UTC', u'Team Megaloblastt', u'0\xa0\U0001f353', u'vigilant_wescoff\xa0(12)']
[u'2017-05-18 11:27\xa0UTC', u'Nainphomane', u'0\xa0\U0001f353', u'angry_meitner\xa0(7)']
[u'2017-05-18 12:25\xa0UTC', u'TheRealDonkeyKong', u'0\xa0\U0001f353', u'wizardly_shannon\xa0(6)']
[u'2017-05-18 12:29\xa0UTC', u'TheRealDonkeyKong', u'0\xa0\U0001f353', u'angry_meitner\xa0(7)']
[u'2017-05-18 15:29\xa0UTC', u'doegox', u'0\xa0\U0001f353', u'stupefied_varahamihira\xa0(16)']
[u'2017-05-18 16:22\xa0UTC', u'c633', u'0\xa0\U0001f353', u'angry_meitner\xa0(7)']
[u'2017-05-18 16:30\xa0UTC', u'c633', u'0\xa0\U0001f353', u'wizardly_shannon\xa0(6)']
