[u'#1', u'777', u'adoring_poitras', u'406\xa0\U0001f353', u'cryptolux', u'Broken!', u'2017-08-17 17:35\xa0UTC', u'2017-09-15 07:17\xa0UTC', u'189\xa0\U0001f353']
[u'#2', u'815', u'competent_agnesi', u'78\xa0\U0001f353', u'grothendieck', u'Broken!', u'2017-08-25 18:58\xa0UTC', u'2017-09-06 21:13\xa0UTC', u'0\xa0\U0001f353']
[u'#3', u'753', u'bright_morse', u'66\xa0\U0001f353', u'sebastien-riou', u'Broken!', u'2017-08-15 14:24\xa0UTC', u'2017-08-27 10:14\xa0UTC', u'0\xa0\U0001f353']
[u'#4', u'877', u'vibrant_goldberg', u'55\xa0\U0001f353', u'chaes', u'Broken!', u'2017-08-31 22:52\xa0UTC', u'2017-09-11 13:51\xa0UTC', u'0\xa0\U0001f353']
[u'#5', u'845', u'hungry_clarke', u'36\xa0\U0001f353', u'team4', u'Broken!', u'2017-08-30 17:19\xa0UTC', u'2017-09-07 22:03\xa0UTC', u'0\xa0\U0001f353']
[u'#6', u'751', u'jolly_davinci', u'28\xa0\U0001f353', u'T33', u'Broken!', u'2017-08-15 13:43\xa0UTC', u'2017-08-23 11:52\xa0UTC', u'0\xa0\U0001f353']
[u'#7', u'844', u'nervous_montalcini', u'15\xa0\U0001f353', u'BendHer', u'Broken!', u'2017-08-30 17:00\xa0UTC', u'2017-09-05 12:19\xa0UTC', u'0\xa0\U0001f353']
[u'#8', u'786', u'sad_goldstine', u'3\xa0\U0001f353', u'team4', u'Broken!', u'2017-08-19 01:35\xa0UTC', u'2017-08-21 14:44\xa0UTC', u'0\xa0\U0001f353']
[u'#9', u'11', u'festive_jennings', u'1\xa0\U0001f353', u'alec', u'Broken!', u'2017-05-17 22:14\xa0UTC', u'2017-05-18 22:15\xa0UTC', u'0\xa0\U0001f353']
[u'#9', u'42', u'practical_franklin', u'1\xa0\U0001f353', u'kluxc3qa1', u'Broken!', u'2017-05-23 23:18\xa0UTC', u'2017-05-24 23:19\xa0UTC', u'0\xa0\U0001f353']
[u'#9', u'44', u'agitated_ritchie', u'1\xa0\U0001f353', u'kluxc3qa1', u'Broken!', u'2017-05-25 12:40\xa0UTC', u'2017-05-26 12:40\xa0UTC', u'0\xa0\U0001f353']
[u'#9', u'49', u'elastic_bell', u'1\xa0\U0001f353', u'kluxc3qa1', u'Broken!', u'2017-06-03 11:12\xa0UTC', u'2017-06-04 14:23\xa0UTC', u'0\xa0\U0001f353']
[u'#9', u'84', u'mystifying_galileo', u'1\xa0\U0001f353', u'Qe1d28d67', u'Broken!', u'2017-06-28 14:12\xa0UTC', u'2017-06-29 22:45\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'3', u'hopeful_liskov', u'0\xa0\U0001f353', u'aleksejs', u'Broken!', u'2017-05-17 17:36\xa0UTC', u'2017-05-17 18:23\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'6', u'wizardly_shannon', u'0\xa0\U0001f353', u'lulu', u'Broken!', u'2017-05-17 17:58\xa0UTC', u'2017-05-17 17:59\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'7', u'angry_meitner', u'0\xa0\U0001f353', u'lulu', u'Broken!', u'2017-05-17 18:02\xa0UTC', u'2017-05-17 18:04\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'778', u'pensive_shaw', u'0\xa0\U0001f353', u'BugsBunny', u'Broken!', u'2017-08-18 07:39\xa0UTC', u'2017-08-18 07:51\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'779', u'hopeful_colden', u'0\xa0\U0001f353', u'chaes', u'Broken!', u'2017-08-18 10:18\xa0UTC', u'2017-08-18 10:20\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'12', u'vigilant_wescoff', u'0\xa0\U0001f353', u'yyx', u'Broken!', u'2017-05-17 22:19\xa0UTC', u'2017-05-18 09:18\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'16', u'stupefied_varahamihira', u'0\xa0\U0001f353', u'aleksejs', u'Broken!', u'2017-05-17 23:33\xa0UTC', u'2017-05-17 23:44\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'529', u'agitated_easley', u'0\xa0\U0001f353', u'fumiste', u'Broken!', u'2017-07-31 21:40\xa0UTC', u'2017-07-31 22:19\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'18', u'elegant_sinoussi', u'0\xa0\U0001f353', u'olesona', u'Broken!', u'2017-05-18 04:29\xa0UTC', u'2017-05-18 05:14\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'20', u'focused_gary', u'0\xa0\U0001f353', u'kluxc3qa1', u'Broken!', u'2017-05-18 22:29\xa0UTC', u'2017-05-19 06:30\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'788', u'vigilant_heyrovsky', u'0\xa0\U0001f353', u'tester', u'Broken!', u'2017-08-19 19:03\xa0UTC', u'2017-08-19 19:06\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'791', u'cool_cori', u'0\xa0\U0001f353', u'BugsBunny', u'Broken!', u'2017-08-20 20:12\xa0UTC', u'2017-08-20 20:27\xa0UTC', u'0\xa0\U0001f353']
